DN sort_id size average sd prov sd_prov sel_id xcoord ycoord
221213 107 100 22 0 12 0 221213 23.04830712 4.68419023
217085 108 122 22 0 12 0 217085 23.11213003 4.68624364
220897 109 92 22 0 13 0 220897 27.76002501 4.68382476
222234 110 63 22 0 12 0 222234 22.93311662 4.6837603
226040 111 63 22 0 12 0 226040 23.11083951 4.68013112
225494 112 73 22 0 13 0 225494 27.76385476 4.67939367
226361 113 62 22 0 12 0 226361 24.72861211 4.6794656
228178 114 126 22 0 12 0 228178 22.8283009 4.67689399
236397 115 91 22 0 12 0 236397 23.05708071 4.66770204
237479 116 115 22 0 8 0 237479 20.33552482 4.66640311
237314 117 70 12 0 12 0 237314 24.17949661 4.6662948
238624 118 132 12 0 8 0 238624 20.33546603 4.66470397
241882 119 60 22 0 12 0 241882 22.95765431 4.66215059
241400 120 88 22 0 12 0 241400 22.81030017 4.66047901
243501 121 61 12 0 8 0 243501 20.34013888 4.65899303
245188 122 85 22 0 8 0 245188 20.34273462 4.65686507
247486 123 66 22 0 13 0 247486 27.74982325 4.65578574
248952 124 82 12 0 12 0 248952 24.19293987 4.65297024
256452 125 57 22 0 12 0 256452 23.15291395 4.64522776
255487 126 92 12 0 8 0 255487 20.09293918 4.64532907
255286 127 74 22 0 12 0 255286 23.18965558 4.64571907
260005 128 73 22 0 12 0 260005 25.81945243 4.63964603
261442 129 62 22 0 12 0 261442 25.82813147 4.6376163
262309 130 77 22 0 12 0 262309 25.83845378 4.63616957
261658 131 93 22 0 12 0 261658 25.8321762 4.63662072
266052 132 58 22 0 12 0 266052 23.15439429 4.63376073
267589 133 79 22 0 12 0 267589 25.8425192 4.63212537
265931 134 72 22 0 12 0 265931 25.82830126 4.63287567
268892 135 86 12 0 12 0 268892 25.49970981 4.63008787
270460 136 55 22 0 12 0 270460 25.84082154 4.62810715
272229 137 64 22 0 12 0 272229 25.83962184 4.62610047
270881 138 60 22 0 12 0 270881 25.83640844 4.62746789
273981 139 57 22 0 8 0 273981 19.9024707 4.62303117
273671 140 101 22 0 12 0 273671 24.85385248 4.62249392
274314 141 64 22 0 12 0 274314 25.84206395 4.62279794
277847 142 76 22 0 12 0 277847 25.84288509 4.61882344
278254 143 63 22 0 12 0 278254 25.83403426 4.61827645
278258 144 74 22 0 12 0 278258 25.84758368 4.61737909
281189 145 61 22 0 12 0 281189 25.84225403 4.61386892
283663 146 55 22 0 8 0 283663 20.02537694 4.61164085
284147 147 58 22 0 12 0 284147 25.82978127 4.6109881
283930 148 99 22 0 12 0 283930 24.85349866 4.61012647
282826 149 75 22 0 12 0 282826 25.83904485 4.61150637
285278 150 68 22 0 12 0 285278 24.86955627 4.60859833
286413 151 68 22 0 12 0 286413 23.57248208 4.60778058
285903 152 55 22 0 12 0 285903 25.78644105 4.60770957
288486 153 62 22 0 8 0 288486 20.0648317 4.6040611
